,pupID,momID,pup_area,mom_area,Distance,mom_age
1,33882,2515,BBN,BM,618.8863189,5
2,33890,1608,NPG2,NNPG3,61.28050261,6
3,40049,20437,BMS,BMS,0,5
4,41848,20873,NPG3,NPG2B,49.42974813,6
5,42181,20421,BBS,TSC,157.4877344,6
6,45274,36700,NP,BMS,879.5466861,5
7,46846,38289,BMC,BBN,641.1355738,5
8,46960,40547,BBS,MBB,304.129779,4
9,47694,40411,NPG1,BBS,1022.895526,5
10,47746,34130,NPG1,NPG1,0,8
11,47843,42560,TSB,TSB,0,4
12,48083,40037,TSW,BMS,163.1262431,5
13,48166,42208,TSB,TSW,138.3015907,4
14,48213,42029,TSC,BBS,157.4877344,4
15,48224,40047,BBS,MBB,304.129779,5
16,48294,40667,BMC,SBE,236.0121192,5
17,48395,40547,SBW,MBB,419.817012,5
18,48899,41847,BMB,P1,604.6472592,5
19,48912,44408,NP0,NP,123.9393533,4
20,48986,40411,TSB,BBS,247.8514404,6
21,49015,42335,BBN,BBN,0,5
22,49020,41763,BMS,NPG,955.9850232,5
23,49021,43992,TSB,NP1,1318.628151,4
24,49127,40568,NP4,SBEU,1389.118725,6
25,49219,40047,BBN,MBB,465.6472641,6
26,49222,38289,NP,BBN,207.858281,7
27,49395,40645,NP4,NP,463.8982958,6
28,49478,40635,NP2,APG,1225.848694,6
29,49507,40667,TSB,SBE,130.4463491,6
30,49541,20421,NP4,TSC,1357.426682,11
31,49990,40411,TSC,BBS,157.4877344,7
32,49991,40411,TSC,BBS,157.4877344,7
33,50299,42335,NP1,BBN,390.5139434,6
34,50325,40660,NP3,BBN,497.7248308,7
35,50334,41847,NP5,P1,1592.531847,6
36,50339,42682,MBBU,NP,653.3565001,6
37,50341,40645,BBNS,NP,370.6129886,7
38,50342,41763,APG,NPG,1087.748107,6
39,50366,42133,BMC,BBS,122.632828,6
40,50428,46864,APG,BBS,74.21410782,3
41,50441,42257,BMS,BMS,0,6
42,50671,40667,BMC,SBE,236.0121192,7
43,50732,38289,NP,BBN,207.858281,8
44,50784,40635,TSC,APG,152.6681044,7
45,51306,40047,MBBU,MBB,63.97317719,8
46,51354,40568,AP,SBEU,168.6810994,8
47,51363,44408,NPG1,NP,196.5741308,6
48,51369,46788,NPG1,NP2,135.6228067,4
49,51388,42560,NP,TSB,1160.137996,7
50,51417,42029,TSB,BBS,247.8514404,7
51,51427,46837,TSB,MBB,492.1510104,4
52,51439,42682,MBBU,NP,653.3565001,7
53,51653,48179,BBSL,BMS,72.55864387,3
54,51718,41763,NP4,NPG,291.0111464,7
55,51743,40411,BBSL,BBS,21.46058946,8
56,51751,46864,BMS,BBS,72.43993995,4
57,51781,42093,NP4,BBN,582.748873,7
58,51788,46703,P1,BMC,542.0813024,4
59,51875,46907,NPG1,BBNS,422.6323982,4
60,51880,40660,BBN,BBN,0,8
61,51965,46580,AP,BBS,109.7247793,4
62,52130,40667,P1,SBE,457.356677,8
63,52182,40635,TSBE,APG,282.2485502,8
64,52660,46895,AP,TSB,274.8557267,5
65,52663,45177,BBSL,NP,923.8156402,6
66,52789,44962,NPG1,NP,196.5741308,6
67,52951,46864,SBW,BBS,115.6946606,5
68,52979,48082,NP4,NP2/3,142.8394938,4
69,52982,46787,SBE,TSE,121.5214384,5
70,52995,48257,MBBU,BBSL,354.9954287,4
71,53016,41763,BMC,NPG,917.9789556,8
72,53074,48244,BBSL,AP,104.4322733,4
73,53102,48332,TSB,NP1,1318.628151,4
74,53108,46703,TSB,BMC,312.0684707,5
75,53115,46837,SBE,MBB,425.0387476,5
76,53118,40047,BBSU,MBB,307.0776288,9
77,53130,45282,BBN,BBN,0,6
78,53156,48141,BBSL,TSW,131.1378999,4
79,53157,46863,APBN,TSB,NA,
80,53244,40037,AP,BMS,176.9906791,9
81,53279,46877,MBBU,AP,455.5444901,5
82,53291,42257,TSB,BMS,286.8848222,8
83,53399,42012,TSB,TSB,0,8
84,53400,48303,TSB,AP,274.8557267,4
85,53460,40660,AP,BBN,794.6988358,9
86,53494,46907,NP3,BBNS,598.4483541,5
87,53506,48374,TSB,AP,274.8557267,4
88,53512,42560,TSB,TSB,0,8
89,54733,46965,TSC,AP,205.5912656,6
90,54734,46788,NP1,NP2,65.8664057,6
91,54756,45177,SBW,NP,1044.047253,7
92,54762,45093,MBBU,NP,653.3565001,7
93,54764,41847,NP0,P1,1373.289339,9
94,54768,49914,TSB,BBN,952.7047984,4
95,54792,49503,TSW,BBSL,131.1378999,4
96,54813,49350,NP3,BBSL,1188.111613,4
97,54814,48020,APG,MBB,377.1297253,5
98,54815,48986,TSC,TSB,93.39218383,4
99,54826,46787,APG,TSE,205.7216812,6
100,54862,46703,TSC,BMC,220.7147807,6
101,54887,48154,BBSL,SBW,123.846987,5
102,54895,44962,NP2,NP,294.0852584,7
103,54900,48936,NP3,NP3,0,4
104,54944,49395,NP0,NP4,341.2128405,4
105,54964,40660,BBN,BBN,0,10
106,54995,46857,BBSL,BBN,720.3212686,6
107,55003,48082,NP5,NP2/3,327.662623,5
108,55004,49219,NP5,BBN,752.4542589,4
109,55019,46653,NP2,NP3,71.14462032,6
110,55020,40645,BBN,NP,207.858281,10
111,55045,49504,NP0,TSB,1235.747732,4
112,55249,48244,BBSL,AP,104.4322733,5
113,55250,46863,BBSL,TSB,268.3863611,6
114,55259,40047,SBEL,MBB,419.497594,10
115,55314,46817,SBEL,BBS,124.5434884,6
116,55317,42029,TSB,BBS,247.8514404,9
117,55385,41763,NP5,NPG,472.2953366,9
118,55406,45282,BBN,BBN,0,7
119,55475,46907,NP1,BBNS,515.9609602,6
120,57445,46788,NPG0,NP2,191.8193966,7
121,57454,50634,NP0,NP1,106.46434,4
122,57456,49001,TSC,NPG4,1281.266275,5
123,57469,46960,APG,BBS,74.21410782,7
124,57682,40047,SBEU,MBB,431.9440542,11
125,57823,46863,AP,TSB,274.8557267,7
