Beach,Lat,long
P1,560110.9,4107920.3
FSB,559981.5,4107795.7
TSB,559855.7,4107705.1
TSE,559812.8,4107755.1
TSD,559738.1,4107843.9
TSC,559765.8,4107730.4
TSW,559717.5,4107699.8
SBE,559731.7,4107664.6
SBW,559668.01,4107623.71
AP,559596.43,4107613.86
APG,559634.06,4107653.25
APGw,559668.16,4107692.64
BBSU,559625.83,4107730.86
BBSL,559587.62,4107717.92
BMS,559581.74,4107790.24
BMC,559574.68,4107840.8
BMN,559547.49,4107866.23
BMNN,559523.24,4107914.44
BMB,559509.72,4107855.64
MBBU,559450.92,4108045.54
BMD,559579.09,4107926.78
LR,559504.1,4108152.8
BBNS,559187.24,4108151.07
BBN,559017.92,4108158.72
BBNN,558952.22,4108106.39
NPC,558883.58,4108139.02
NP,558828.61,4108244.55
NPGa,558849.18,4108294.82
NP0,558812.44,4108367.43
NPG1,558874.76,4108435.63
NP1,558780.98,4108469.14
NP2,558782.45,4108534.99
NP3,558796.86,4108604.66
NP4,558824.49,4108708.43
NPG4,558907.97,4108682.12
NP5,558849.18,4108892.01
NP6,558869.47,4109098.66
NPD,558963.2,4108553.4
NPG0,558879.17,4108369.34
